"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","1","BatteryPads","B400","BatteryPads","","","","",""
"2","7","100nF","C200,C302,C501,C601,C602,C802,C805","C0402_IPC","100nF","CL05B104KO5NNNC","SAMSUNG(三星)","C1525","LCSC"
"3","1","1uF","C300","C0603","1uF","CL10B105KP8NNNC","SAMSUNG(三星)","C95843","LCSC"
"4","2","22uF","C301,C404","C0805","22uF","CL21A226MAQNNNE","SAMSUNG(三星)","C45783","LCSC"
"5","2","1000uF","C400,C401","CAP-TH_BD10.0-P5.00-D1.0-FD","1000uF","25YXJ1000M10X20","rubycon(红宝石)","C88720","LCSC"
"6","7","100nF","C402,C800,C801,C803,C804,C806,C807","C0805","100nF","","","",""
"7","1","1uF","C403","C0805","1uF","CL21B105KBFNNNE","SAMSUNG(三星)","C28323","LCSC"
"8","4","10uF","C405,C406,C407,C500","C0805","10uF","GCM21BR71A106KE22L","muRata(村田)","C126586","LCSC"
"9","2","220pF","C502,C503","C0402_IPC","220pF","0402B221K500NT","FH(风华)","C1530","LCSC"
"10","1","10nF","C600","C0402_IPC","10nF","GRM155R71E103KA01D","muRata(村田)","C77013","LCSC"
"11","1","2.2nF","C603","C0402_IPC","2.2nF","0402B222K500NT","FH(风华)","C1531","LCSC"
"12","1","On/Off","CN700","CONN-TH_B2B-PH-K-S","","B2B-PH-K-S(LF)(SN)","JST","C131337","LCSC"
"13","1","LF","CN800","CONN-TH_B3B-EH-A-LF-SN","","B3B-EH-A(LF)(SN)","JST","C160259","LCSC"
"14","1","RF","CN801","CONN-TH_B3B-EH-A-LF-SN","","B3B-EH-A(LF)(SN)","JST","C160259","LCSC"
"15","1","LM","CN802","CONN-TH_B3B-EH-A-LF-SN","","B3B-EH-A(LF)(SN)","JST","C160259","LCSC"
"16","1","RM","CN803","CONN-TH_B3B-EH-A-LF-SN","","B3B-EH-A(LF)(SN)","JST","C160259","LCSC"
"17","1","LR","CN804","CONN-TH_B3B-EH-A-LF-SN","","B3B-EH-A(LF)(SN)","JST","C160259","LCSC"
"18","1","RR","CN805","CONN-TH_B3B-EH-A-LF-SN","","B3B-EH-A(LF)(SN)","JST","C160259","LCSC"
"19","1","USBLC6-2SC6","D200","SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL","","USBLC6-2SC6","ST(意法半导体)","C7519","LCSC"
"20","1","SMCJ15A","D400","SMC_L6.9-W5.9-LS7.9-RD","","SMCJ15A","Littelfuse(美国力特)","C1973072","LCSC"
"21","2","GZ1608D121TF SMT业务专用","L500,L501","L0603","","GZ1608D121TF SMT业务专用","","C18527","LCSC"
"22","1","VBAT","LED400","LED0402-RD_YELLOW","","","","",""
"23","1","+5V","LED401","LED0402-RD_YELLOW","","","","",""
"24","1","+3V3","LED402","LED0402-RD_YELLOW","","","","",""
"25","4","M3-MOUNT-HOLE","M700,M701,M702,M703","M3-MOUNT-HOLE","","","","",""
"26","2","5.1kΩ","R200,R201","R0402","5.1kΩ","0402WGF5101TCE","UNI-ROYAL(厚声)","C25905","LCSC"
"27","6","10kΩ","R300,R400,R401,R800,R801,R805","R0402","10kΩ","0402WGF1002TCE","UNI-ROYAL(厚声)","C25744","LCSC"
"28","4","4.7kΩ","R301,R302,R402,R600","R0402","4.7kΩ","0402WGJ0472TCE","UNI-ROYAL(厚声)","C25940","LCSC"
"29","3","100kΩ","R403,R410,R411","R0402","100kΩ","0402WGF1003TCE","UNI-ROYAL(厚声)","C25741","LCSC"
"30","1","120kΩ","R404","R0402","120kΩ","RC0402FR-07120KL","YAGEO(国巨)","C93945","LCSC"
"31","1","22kΩ","R405","R0402","22kΩ","RT0402BRD0722KL","YAGEO(国巨)","C326601","LCSC"
"32","1","0Ω_DNP","R500","R0402","0Ω","0402WGJ0000TCE","UNI-ROYAL(厚声)","C21376","LCSC"
"33","1","0Ω","R501","R0402","0Ω","0402WGJ0000TCE","UNI-ROYAL(厚声)","C21376","LCSC"
"34","1","1MΩ","R502","R0402","1MΩ","0402WGF1004TCE","UNI-ROYAL(厚声)","C26083","LCSC"
"35","1","470Ω","R700","R0402","470Ω","0402WGF4700TCE","UNI-ROYAL(厚声)","C25117","LCSC"
"36","1","470Ω","R802","R0402","470Ω","RC0402FR-07470RL","YAGEO(国巨)","C114877","LCSC"
"37","2","220Ω","R803,R804","R0402","220Ω","0402WGF2200TCE","UNI-ROYAL(厚声)","C25091","LCSC"
"38","1","Boot","SW300","SW-SMD_5P-L4.2-W2.8-P1.60-LS4.6-TR","","KMR211GLFS","C&K","C221675","LCSC"
"39","1","Reset","SW301","SW-SMD_5P-L4.2-W2.8-P1.60-LS4.6-TR","","KMR211GLFS","C&K","C221675","LCSC"
"40","1","USB","TP200","TESTPOINT-SMD","","","","",""
"41","1","VBAT","TP400","TESTPOINT-SMD","","KH-PG2012005-DZ","kinghelm(金航标)","C2842936","LCSC"
"42","1","+5V","TP401","TESTPOINT-SMD","","KH-PG2012005-DZ","kinghelm(金航标)","C2842936","LCSC"
"43","1","+3V3","TP402","TESTPOINT-SMD","","KH-PG2012005-DZ","kinghelm(金航标)","C2842936","LCSC"
"44","1","2.4GHz","U300","WIRELM-SMD_ESP32-S3-WROOM-1","2.4GHz","ESP32-S3-WROOM-1-N16R8","ESPRESSIF(乐鑫)","C2913202","LCSC"
"45","1","MPM3610GQV-Z","U400","QFN-20_L5.0-W3.0-TL-MPM3610GQV-Z","","MPM3610GQV-Z","MPS(芯源)","C5183856","LCSC"
"46","1","LD39200PUR","U401","DFN-6_L3.0-W3.0-P0.95-BL-EP-1","","LD39200PUR","ST(意法半导体)","C2969757","LCSC"
"47","1","MAX98357AETE+T","U500","TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5","","MAX98357AETE+T","ADI(亚德诺)/MAXIM(美信)","C910544","LCSC"
"48","1","SMT-1028","U501","SMT-1028","","SMT-1028-T-2-R","PUI Audio, Inc.","668-1532-1-ND","Digi-Key"
"49","1","MPU-6050","U600","QFN-24_L4.0-W4.0-P0.50-BL-EP2.7","","MPU-6050","TDK InvenSense(应美盛)","C24112","LCSC"
"50","1","LCD I2C","U700","CONN-TH_4P-P2.00_S4B-PH-K-S-LF-SN","","S4B-PH-K-S(LF)(SN)","JST","C157926","LCSC"
"51","1","SN74AHCT1G126DBVR","U701","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","","SN74AHCT1G126DBVR","TI(德州仪器)","C163712","LCSC"
"52","1","RGB","U702","CONN-TH_3P-P2.00_S3B-PH-K-S-LF-SN","","S3B-PH-K-S(LF)(SN)","JST","C157929","LCSC"
"53","1","74LVC1G125GW","U800","TSSOP-5_L2.1-W1.3-P0.65-LS2.2-BL","","74LVC1G125GW","Nexperia(安世)","C548256","LCSC"
"54","1","74LVC1G126GW","U801","TSSOP-5_L2.1-W1.3-P0.65-LS2.2-BL","","74LVC1G126GW","Nexperia(安世)","C548264","LCSC"
"55","1","USB4105-GF-A","USB200","TYPE-C-SMD_SBC-160S1A-20-S412","","USB4105-GF-A","GCT","C3020560","LCSC"
